,Year,warstds,eu_nama_aux_pem_POP,gle_rgdpc,ross_oil_netexpc,p_polity,al_ethnic,al_religion,imf_gdpgr,une_gerst
159,2010,0,12410.86,11181.66,0,8,0.410248,0.5986193,8.593,58.45303042
160,2011,0,12770.73,11265.74,1310.558248,8,0.410248,0.5986193,4.823944971,58.28425577
161,2012,0,9624.936313,9401.800692,1307.905545,8,0.410248,0.5986193,4.828697539,58.26204284
162,2013,0,9640.567545,9416.22178,1317.538977,-2.366959564,-0.178275172,0.418385343,4.824874259,58.29390983
163,2014,0,9643.953987,9420.518726,1311.800591,-2.363074969,-0.173068469,0.417990591,4.829172453,58.4287159
164,2001,0,44158.75,48672.121,4691.452256,-2.281400286,0.5416,0.4404053,2.745,87.75685
165,2002,0,47927.199,51984.039,4425.271564,-2.290913393,0.5416,0.4404053,3.872,88.84909
166,2003,0,49907.371,53016.801,4965.642834,-2.280977681,0.5416,0.4404053,2.903,89.24717
167,2004,0,53143.012,54907.738,6587.999401,-2.287092436,0.5416,0.4404053,0.504,91.74318
168,2005,0,55515.41,55515.41,9224.069728,-2.279982925,0.5416,0.4404053,0.388,93.56551
169,2006,0,58934.121,57089.551,11218.93268,-2.293818434,0.5416,0.4404053,4.397,96.39316
170,2007,0,59059.84,55597.77,10263.38293,-2.261871175,0.5416,0.4404053,0.154,96.02371
171,2008,0,48837.5,44977.531,11218.31794,-2.273529266,0.5416,0.4404053,-1.938,96.74793
172,2009,0,57162.18,52189.09,6550.118922,-2.245426974,0.5416,0.4404053,-1.765,99.20216
173,2010,0,46070.559,41507.621,8496.770406,-2.310510317,0.5416,0.4404053,2.598,100.67982
174,2011,0,46103.84,40670.641,1314.902618,-2.292004918,0.5416,0.4404053,3.43,103.01517
175,2012,0,9606.280873,9384.571125,1303.365043,-2.293228352,0.5416,0.4404053,0.948,107.8462
176,2013,0,9601.945968,9381.039033,1306.131148,-2.270095114,-0.152746041,0.417381273,4.821050529,58.32513824
177,2014,0,9554.797927,9333.730521,1297.321997,-2.293516926,-0.152505542,0.419433253,4.825985485,58.12193275
178,2001,1,428.67999,472.5,0,-88,0.295144,0.5158263,1.665,9.74574
179,2002,0,434.94,471.75,0,-88,0.295144,0.5158263,2.354,10.11006
180,2003,0,458.64001,487.22,0,-88,0.295144,0.5158263,2.47,10.27421
181,2004,0,486.17001,502.32001,0,-88,0.295144,0.5158263,3.767,11.70398
182,2005,0,476.87,476.87,0,6,0.295144,0.5158263,4.371,12.76582
