,country,year,warstds,atwards,anoc,ager,autonomy,avgnabo,dem,dlang,drace,drel,durable,ef,gdpgrowth,illiteracy,infant,inst,inst3,life,lmtnest,milper,nat_war,ncontig,nwstate,oil,plural,plurrel,pol4,pol4sq,popdense,relfrac,seceduc,second,sxpnew,sxpsq,tnatwar,trade,warhist,xconst,lpopns,ln_gdpen,numlang,proxregc,partfree,decade1,regd4_alt,etdo4590,geo1,presi,parreg,geo34
5571,Slovakia,1991,0,0,1,8,0,0.423648298,0,15,0,5,12,0.431374997,0.0690642,7.599999905,37.79999924,0,1,69.03410339,1.85629797,203.858293,1,0,0,0,0.74000001,95,3,9,110.6000977,0.095799997,30,0.140000001,0.0958234,0.009182124,2,75.78235626,0,3,17.84983063,1.323354602,7,5.96E-08,0,0,3.5,1,0,0,2,0
5572,Slovakia,1992,0,0,1,1,0,0.28383559,0,15,0,5,0,0.431374997,0.066929601,7.199999809,37.79999924,1,1,69.03410339,1.85629797,313.4537758,1,0,0,0,0.74000001,95,-1,1,112.2418976,0.095799997,30,0.140000001,0.0958912,0.009195122,2,78.471138,0,3,17.8645668,1.371688128,7,1,0,0,4.5,1,0,0,3,0
5573,Slovakia,1993,0,0,0,1,0,1.096434712,1,15,0,5,0,0.431374997,0.0724499,6.800000191,37.79999924,1,1,69.03410339,1.85629797,512.4314217,1,0,0,0,0.74000001,95,9,81,113.6526031,0.095799997,30,0.140000001,0.093695,0.008778753,1,77.95464325,0,7,17.87705612,1.441633821,7,1,0,0,5.5,1,0,0,2,0
5574,Slovenia,1994,0,0,0,2,0,1.077147961,1,15,0,5,1,0.431374997,0.080650799,6.5,37.79999924,1,1,69.03410339,1.85629797,255.9003893,1,0,0,0,0.74000001,95,9,81,114.9328003,0.095799997,30,0.140000001,0.081343301,0.006616733,1,79.3781662,0,7,17.88825607,1.519197106,7,0.25,0,0,5.5,1,0,0,2,0
5575,Slovenia,1995,0,0,0,3,0,1.077147961,1,15,0,5,2,0.431374997,0.086749099,6.199999809,37.79999924,1,0,69.03410339,1.85629797,298.3276618,1,0,0,0,0.74000001,95,9,81,116.2695999,0.095799997,30,0.140000001,0.085016102,0.007227737,1,81.97104645,0,7,17.89982224,1.598677635,7,0.0625,0,0,5.5,1,0,0,2,0
5576,Slovenia,1996,0,0,0,4,0,1.086694956,1,15,0,5,3,0.431374997,0.0522701,5.800000191,37,1,0,68.82440186,1.85629797,220.1755978,1,0,0,0,0.74000001,95,9,81,117.447998,0.095799997,54,0.140000001,0.0870234,0.007573072,1,89.75808716,0,7,17.90990448,1.650030255,7,0.015625,0,0,5.5,1,0,0,2,0
5577,Slovenia,1997,0,0,0,5,0,1.088314176,1,15,0,5,4,0.431374997,-0.021,5.599999905,37,1,0,68.82440186,1.85629797,433.912034,0,0,0,0,0.74000001,95,9,81,-1.394484425,0.095799997,54,0.140000001,0.082526103,0.006810558,0,84.39041138,0,7,17.91983795,1.626399159,7,0.00390625,0,0,5.5,1,0,0,2,0
5578,Slovenia,1998,0,0,0,6,0,1.126180053,1,15,0,5,5,0.431374997,-0.114026196,5.300000191,37,1,0,68.82440186,1.85629797,104.5845898,0,0,0,0,0.74000001,95,9,81,165.1146297,0.095799997,54,0.140000001,0.011781104,-0.076700482,0,93.38126373,0,7,17.92811584,1.512054086,7,0.000976563,0,0,5.5,1,0,0,2,0
5579,Slovenia,1999,0,0,0,7,0,1.085012555,1,15,0,5,6,0.431374997,0.034386098,5,37,1,0,68.82440186,1.85629797,410.3427502,0,0,0,0,0.74000001,95,9,81,-172.4479058,0.095799997,54,0.140000001,0.184516814,0.082140475,0,50.00362797,0,7,17.93639374,1.545249343,7,0.000244141,0,0,5.5,1,0,0,2,0
5580,Slovenia,2000,0,0,-0.262646377,8,0,1.083163023,0.915856516,23.7847894,-2.892438369,0.09444822,7,0.355080179,0.034782201,4.699999809,37,0.832056015,0.552008287,68.82440186,2.371988937,376.5221655,0,0.333370601,0.019306144,0,0.808470924,91.81061331,9,81,112.7590564,0.14463423,54,0.151201309,-0.012944699,-0.066368974,0,70.25693682,0,7,17.77282377,1.974622588,6.541001688,6.10E-05,0,-0.10252625,6,1.291123161,0.088136476,0,2,-0.018229924
