"pay_attn_pol_cont","int_follow_campg","anything_like_dem_cand","anything_like_rep_cand","approve_congr","things_right_track","feel_dem_cand_cont","feel_rep_cand_cont","how_many_live_hh_cont","better_1y_ago_cont","has_hinsur","favor_aca","afraid_dem_cand","disgust_dem_cand","afraid_rep_cand","disgust_rep_cand","lib_con_scale_cont","incgap_morethan_20y_ago","economy_improved","unempl_improved","speaksmind_dem_cand","speaksmind_rep_cand","soc_spend_favor_cont","def_spend_favor_cont","private_hi_favor_cont","shoud_hard_buy_gun","favor_affirmaction","govt_benefit_all","all_ingovt_corrup","election_makegovt_payattn","global_warming_happen","favor_death_penalty","econ_better_since_2008","relig_important","age_cont","married","schooling_cont","latinx","white","black","both_parents_bornUS","any_grandparent_foreign","rent_home","has_unexp_passap","should_roughup_protestors","justified_useviolence","consider_self_feminist","ppl_easily_offended_nowadays","soc_media_learn_pres","satisfied_life","intvote_beforeelec_2016","vote_pres_2012","vote_pres_2016","swing_2016","swing_2016_2012"
1,0,1,0,0,1,85,30,4,2,1,1,-2,-2,0,1,0,-1,-1,1,0,1,0,2,-1,1,0,0,0,1,1,0,1,1,45,1,13,0,0,1,1,0,0,1,0,-2,0,0,1,0,"Clinton","Obama","Clinton",0,0
1,0,0,1,1,1,0,40,5,1,1,-1,-2,0,-2,-2,-1,1,0,-1,-1,2,-2,1,3,1,-1,0,2,1,0,0,-1,1,33,1,13,0,1,0,1,0,0,1,-1,-2,0,1,0,2,"Trump","Romney","Trump",0,0
2,1,0,1,0,0,0,60,3,0,1,-1,2,2,-2,-1,-3,1,-1,0,2,2,-2,2,2,0,-1,0,0,-1,1,1,1,1,29,1,10,0,1,0,1,0,0,0,0,-2,0,1,1,0,"Trump","Romney","Trump",0,0
2,1,1,0,0,1,85,0,0,1,1,1,-2,-2,1,1,2,1,1,-1,1,0,2,-3,-1,1,1,1,-1,1,1,1,1,0,49,0,16,0,1,0,1,0,1,1,-2,-2,1,0,1,0,"Clinton","Obama","Clinton",0,0
0,0,0,1,0,0,0,85,4,0,1,-1,2,2,-1,-2,-2,1,-1,0,0,2,0,3,0,1,-1,0,2,-1,1,0,1,0,47,1,13,0,1,0,1,0,0,0,1,-2,0,1,1,1,"Trump","Romney","Trump",0,0
0,0,1,0,0,1,85,0,3,2,1,1,-2,-2,2,2,0,0,-1,1,2,1,3,2,0,1,1,1,-1,0,1,0,0,1,47,0,11,0,0,1,1,0,1,0,2,-2,0,1,1,0,"Clinton","Obama","Clinton",0,0
2,0,1,0,0,1,85,0,1,0,1,1,-2,0,0,-1,1,1,1,1,1,2,1,-1,0,1,0,0,0,0,1,1,1,1,59,0,12,0,0,0,0,1,1,1,-1,-2,1,0,1,0,"Clinton","Obama","Clinton",0,0
2,1,0,1,1,0,0,85,5,0,1,-1,0,2,-2,-1,-3,1,-1,0,0,2,-3,3,1,0,-1,0,-1,1,0,1,0,1,47,0,13,0,1,0,1,0,0,1,0,-2,0,1,1,1,"Trump","Romney","Trump",0,0
0,0,0,1,0,0,0,100,6,0,1,-1,2,2,-2,-2,-3,0,0,0,-1,2,-3,2,2,0,-1,0,1,0,0,0,-1,1,31,1,13,0,1,0,1,0,1,0,0,-2,0,1,1,2,"Trump","Romney","Trump",0,0
1,0,1,0,0,0,60,15,0,-1,1,1,-1,-1,1,2,1,1,-1,1,-1,1,1,-2,0,1,-1,0,1,-1,1,0,1,0,24,0,13,0,1,0,1,1,1,1,0,-2,0,1,1,1,"Clinton","Obama","Clinton",0,0
1,1,1,0,0,1,100,0,1,0,1,1,-2,-2,2,2,2,1,1,1,2,1,0,-1,-1,1,-1,0,-1,1,1,0,1,1,80,1,13,0,1,0,1,0,0,0,1,-2,1,0,1,2,"Clinton","Obama","Clinton",0,0
1,1,0,1,0,0,0,85,1,-1,1,0,2,1,-2,-2,-2,1,-1,1,0,2,1,2,0,0,-1,0,0,0,1,0,0,1,64,1,13,0,1,0,1,0,1,0,1,-2,0,1,1,1,"Trump","Obama","Trump",0,1
2,1,0,1,0,0,0,85,1,0,1,-1,2,2,-2,-2,-2,0,-1,0,1,2,-3,1,3,-1,0,0,1,-1,0,0,-1,1,73,1,12,0,1,0,0,1,0,1,-2,-2,0,1,0,1,"Trump","Romney","Trump",0,0
2,1,1,0,0,0,85,50,1,1,1,1,-1,-1,1,2,-2,1,1,1,1,2,1,1,-2,1,1,0,0,1,1,0,1,1,70,1,11,0,1,0,1,0,0,0,1,-2,1,0,0,1,"Clinton","Obama","Clinton",0,0
1,1,1,0,0,0,85,0,1,1,1,1,-2,-2,2,2,0,1,1,1,1,0,1,-2,0,1,1,0,-1,0,1,1,1,1,53,0,16,1,0,0,0,1,0,1,1,0,1,0,1,1,"Clinton","Obama","Clinton",0,0
-1,0,0,0,0,0,15,15,1,0,1,-1,-1,-1,-2,1,0,1,-1,1,1,1,2,-1,-1,1,-1,1,-1,0,1,0,1,0,76,1,10,0,1,0,1,1,0,1,2,-1,0,0,1,1,"Clinton","Obama","Clinton",0,0
1,1,1,1,1,1,100,0,1,0,1,1,-2,-2,2,2,0,1,1,1,2,2,2,2,0,1,1,0,-1,1,1,0,1,1,70,1,9,1,0,0,1,0,0,0,-1,-2,1,0,0,1,"Clinton","Obama","Clinton",0,0
0,1,1,1,0,0,0,60,0,1,1,-1,2,0,-1,-1,-2,1,0,0,-2,2,-2,3,1,1,-1,0,1,1,0,1,-1,1,46,0,6,0,1,0,1,0,1,0,0,-2,0,1,1,0,"Trump","Romney","Trump",0,0
-1,0,1,0,1,1,85,0,0,2,1,1,-2,-1,1,2,2,1,1,-1,2,2,1,-1,0,1,1,0,-1,0,1,0,1,1,25,0,13,0,0,1,1,0,1,1,-2,-2,1,0,1,1,"Clinton","Obama","Clinton",0,0
1,0,1,0,0,1,70,0,2,0,1,-1,-2,-2,-1,-1,0,1,-1,1,-1,2,0,0,0,1,0,1,-1,0,1,0,0,1,37,1,10,0,1,0,1,1,0,0,-2,-2,0,1,1,1,"Clinton","Obama","Clinton",0,0
-1,0,1,0,1,0,85,0,2,0,1,0,-2,-2,1,1,1,1,-1,1,1,0,1,0,-2,0,0,0,0,0,1,0,1,1,41,0,9,0,0,0,1,1,1,0,-2,-2,1,1,1,0,"Clinton","Obama","Clinton",0,0
1,-1,0,1,0,0,30,40,2,-1,1,-1,0,-1,0,-1,-1,1,-1,-1,1,2,0,0,1,0,-1,0,1,0,1,0,-1,1,59,1,14,0,1,0,1,1,0,0,1,-2,1,1,1,0,"Trump","Obama","Trump",0,1
2,1,1,0,0,0,30,0,3,1,1,1,0,0,2,2,3,1,1,1,0,-2,3,-3,-3,1,1,0,1,0,1,1,0,0,23,0,13,0,1,0,1,0,0,0,-2,1,1,0,1,0,"Clinton","Obama","Clinton",0,0
1,1,0,1,0,0,50,85,1,-2,1,-1,-1,-2,-1,-1,0,1,-1,1,-2,1,-3,1,3,1,0,0,-1,1,1,0,-1,0,62,0,13,0,1,0,0,1,0,1,1,-2,1,1,1,-1,"Trump","Romney","Trump",0,0
-1,0,1,1,0,0,52,52,0,1,1,1,-1,-1,-2,-1,0,1,1,-1,1,1,0,-1,-3,0,-1,0,2,0,1,1,0,1,41,0,9,0,0,1,1,0,0,0,-2,-2,1,0,1,1,"Clinton","Obama","Clinton",0,0
2,1,1,0,0,0,40,0,1,0,1,1,-1,-2,1,2,3,1,-1,1,0,2,3,-3,-3,1,1,0,-1,-1,1,1,0,0,74,1,14,0,1,0,1,0,0,1,-2,-2,1,0,0,1,"Clinton","Obama","Clinton",0,0
2,1,0,1,1,0,0,85,2,1,1,-1,2,2,-1,-2,-2,0,-1,-1,-1,2,-2,3,3,0,-1,0,0,0,0,0,-1,1,40,1,14,0,1,0,1,0,1,1,1,-2,0,1,1,1,"Trump","Romney","Trump",0,0
0,1,0,1,1,0,40,70,2,1,1,1,-1,0,-1,0,0,-1,1,-1,0,1,0,3,1,1,-1,0,0,1,1,0,-1,1,58,0,9,1,0,0,1,1,0,0,-2,-2,0,0,1,0,"Trump","Obama","Trump",0,1
1,1,1,0,0,0,85,0,0,0,1,1,-2,-2,1,1,2,1,1,1,2,0,1,-1,-2,1,1,0,0,0,1,1,0,0,68,0,14,0,1,0,1,1,0,0,-2,-2,1,0,0,1,"Clinton","Obama","Clinton",0,0
0,0,0,1,1,1,15,60,2,0,1,-1,1,1,0,-2,-1,1,-1,-1,0,2,0,1,2,1,-1,1,0,-1,1,0,0,1,32,1,10,0,1,0,1,1,0,1,-2,-2,0,0,0,2,"Trump","Romney","Trump",0,0
1,0,1,0,0,1,70,15,0,0,1,1,-2,-2,-1,2,-1,1,-1,1,1,-2,0,0,2,1,0,0,2,1,1,1,0,1,78,0,3,0,1,0,0,1,0,1,0,-2,1,0,0,0,"Clinton","Obama","Clinton",0,0
1,1,1,1,0,1,85,15,2,1,1,1,-2,-2,0,0,0,1,1,1,-2,0,1,0,1,1,1,0,0,0,1,1,1,1,45,1,13,0,0,1,1,1,0,0,-2,-2,1,1,1,1,"Clinton","Obama","Clinton",0,0
1,0,0,0,0,0,15,0,2,1,1,1,0,0,1,1,0,1,-1,-1,1,2,1,1,0,0,0,0,-1,0,1,0,0,1,46,1,14,0,1,0,1,0,0,1,-1,-2,1,1,1,0,"Johnson","Obama","Clinton",1,0
1,1,1,0,1,0,85,0,1,0,1,-1,-2,0,2,2,0,1,0,-1,1,1,3,3,3,1,-1,0,-1,0,1,0,-1,1,44,0,11,0,0,1,1,0,1,0,-2,-2,0,0,1,1,"Clinton","Obama","Clinton",0,0
1,1,1,0,0,0,70,0,2,-2,0,-1,-1,-1,2,2,3,1,0,0,1,2,3,3,-3,1,-1,0,0,0,1,0,-1,1,34,0,12,0,1,0,1,1,0,1,1,-2,0,1,1,-2,"Clinton","Romney","Clinton",0,1
2,1,1,0,0,0,70,0,2,0,1,1,-2,-2,2,2,3,1,1,1,0,1,2,-1,-2,1,1,0,-1,0,1,1,1,0,28,1,14,0,1,0,1,0,0,1,-2,-2,1,0,0,1,"Clinton","Obama","Clinton",0,0
2,1,0,1,0,0,0,70,4,1,1,-1,1,1,-2,-2,-1,1,-1,0,-1,1,-2,1,3,0,-1,0,1,1,0,0,-1,0,37,1,13,0,1,0,1,1,0,1,2,-2,0,1,1,0,"Trump","Romney","Trump",0,0
2,1,0,1,0,1,0,100,1,0,1,-1,1,2,-2,-2,-3,1,0,0,-2,1,-3,2,1,1,1,0,0,0,1,1,-1,1,68,1,11,0,1,0,1,1,0,1,0,-2,0,1,0,2,"Trump","Romney","Trump",0,0
-1,1,1,0,0,1,70,15,2,2,1,1,-2,-2,-2,1,1,1,1,1,0,2,0,0,-2,1,0,1,-1,1,1,0,1,1,36,0,10,1,0,0,0,1,1,0,0,-2,1,1,1,0,"Clinton","Obama","Clinton",0,0
1,1,0,0,1,0,0,60,1,-1,1,-1,0,1,-2,-2,-2,0,-1,-1,-2,1,-2,1,2,0,-1,0,-1,0,1,0,1,0,24,1,9,1,0,0,0,1,1,0,0,-2,0,1,1,0,"Trump","Romney","Trump",0,0
1,1,1,1,0,1,70,0,1,0,1,1,-2,-2,1,1,0,1,-1,-1,1,2,0,2,0,1,-1,0,-1,1,1,0,1,1,62,1,9,0,1,0,1,0,0,0,1,-2,1,1,0,1,"Clinton","Obama","Clinton",0,0
1,1,1,0,0,1,85,15,1,0,1,0,-2,-1,-1,1,0,1,1,1,2,0,1,-1,-1,1,0,1,-1,0,1,1,1,0,73,1,13,0,1,0,1,1,0,1,-2,-2,1,1,0,1,"Clinton","Obama","Clinton",0,0
2,1,0,1,1,0,0,50,4,0,0,-1,2,2,-2,0,-3,1,0,0,-2,0,-1,-1,1,0,-1,0,1,-1,0,1,-1,1,33,1,11,0,1,0,1,0,0,0,-2,-2,0,1,1,-2,"Trump","Romney","Trump",0,0
2,1,1,0,0,1,70,0,1,0,1,1,-2,-2,1,1,2,1,-1,-1,0,0,1,0,-1,1,0,0,0,1,1,0,1,0,68,1,13,0,1,0,1,0,0,1,-2,-2,1,0,0,-1,"Clinton","Obama","Clinton",0,0
1,1,0,1,0,0,15,85,1,0,1,-1,1,1,0,-1,0,-1,0,0,2,2,-1,1,-2,1,0,0,0,-1,1,0,-1,1,49,1,13,0,1,0,1,0,0,0,1,-2,0,0,1,0,"Trump","Romney","Trump",0,0
2,1,1,1,0,0,15,85,2,0,1,-1,-1,-1,-2,-2,-3,0,-1,1,-2,2,-2,2,3,-1,-1,0,0,1,0,0,0,1,52,1,13,0,1,0,1,0,0,1,2,-2,0,1,0,2,"Trump","Romney","Trump",0,0
1,0,1,1,1,0,60,70,1,0,1,-1,0,0,-1,-1,-1,1,0,-1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,45,1,13,0,1,0,1,0,0,1,-2,-1,0,0,1,1,"Trump","Romney","Trump",0,0
0,1,1,0,1,1,60,0,3,0,1,1,-1,-2,2,2,2,1,-1,-1,-1,2,0,-2,-3,1,1,0,1,1,1,1,1,1,36,1,14,0,1,0,1,0,0,1,-2,-2,0,0,1,1,"Clinton","Obama","Clinton",0,0
2,1,1,0,0,1,70,0,1,1,1,1,-2,-2,-2,2,-2,1,1,1,1,2,2,1,-3,1,1,0,-1,-1,1,0,0,1,40,0,9,0,0,1,1,0,0,0,-2,-2,0,0,1,1,"Clinton","Obama","Clinton",0,0
-1,0,0,1,0,0,30,60,1,0,1,-1,2,-1,1,-1,0,1,-1,0,0,2,-1,2,0,-1,-1,0,1,-1,1,0,-1,1,55,1,10,1,1,0,1,0,0,0,1,-2,1,1,1,1,"Johnson","Obama","Johnson",0,1
2,1,1,0,0,1,70,0,2,2,1,1,-2,-2,1,1,2,1,1,1,1,0,1,-1,-2,1,1,1,-1,1,1,1,1,1,49,1,13,0,1,0,1,0,0,0,-2,-2,1,0,1,0,"Clinton","Obama","Clinton",0,0
-1,0,0,0,0,0,15,40,0,-1,1,1,2,2,1,2,0,0,0,-1,2,1,0,2,0,0,-1,0,-1,0,1,0,-1,1,55,0,4,0,1,0,1,0,0,0,-1,-1,0,1,0,0,"Trump","Romney","Trump",0,0
2,1,0,1,0,0,0,85,1,0,1,-1,2,2,-1,-2,-2,1,-1,-1,-2,2,-3,0,3,-1,-1,0,1,1,1,0,-1,1,67,1,14,0,1,0,1,0,0,1,-1,-2,0,1,1,2,"Trump","Romney","Trump",0,0
-1,-1,1,0,1,1,100,30,2,0,1,1,-1,-2,0,1,2,1,1,1,0,2,0,2,-1,1,-1,1,-1,1,1,1,1,1,29,1,13,0,0,1,0,1,1,1,0,0,1,0,0,1,"Clinton","Obama","Clinton",0,0
1,1,0,0,0,0,30,30,0,0,1,-1,-2,-1,1,-1,-1,1,-1,1,1,2,0,-2,2,1,-1,0,1,0,1,0,0,0,54,0,13,0,1,0,1,0,0,1,-2,-2,0,1,1,1,"Johnson","Romney","Johnson",0,1
-1,1,1,1,1,0,30,50,4,0,1,-1,-1,1,0,-1,-1,1,0,1,-2,1,-1,3,-2,0,-1,0,-1,1,1,0,-1,1,24,0,13,0,1,0,1,1,0,0,0,-2,0,1,1,1,"Johnson","Romney","Johnson",0,1
2,1,0,1,0,0,15,85,0,0,1,-1,0,1,-2,-1,-1,0,1,0,0,2,-1,2,1,0,-1,0,-1,0,1,0,-1,1,64,0,13,0,1,0,1,0,0,1,1,-2,0,1,0,1,"Trump","Romney","Trump",0,0
-1,0,0,1,0,0,0,60,4,0,1,-1,2,2,-1,-1,0,1,1,1,0,2,0,0,3,1,0,0,0,1,0,1,0,1,34,1,11,0,1,0,1,0,0,0,-1,-2,1,1,1,1,"Trump","Romney","Trump",0,0
1,1,1,1,0,0,85,60,1,0,1,1,-2,-2,-2,0,0,1,1,1,2,2,3,0,-3,1,-1,0,-1,1,1,1,1,1,72,1,9,0,0,1,1,0,0,0,2,2,0,0,0,2,"Clinton","Obama","Clinton",0,0
1,1,1,1,0,0,85,30,0,0,1,1,-1,-2,0,0,2,1,1,1,1,-2,0,-1,1,1,0,0,-1,0,1,1,0,1,71,0,12,0,1,0,1,0,0,1,0,-2,0,1,0,1,"Clinton","Obama","Clinton",0,0
2,1,0,1,0,0,0,60,1,0,1,-1,2,2,2,-2,-3,1,-1,-1,-2,2,-3,3,3,0,-1,0,0,-1,1,0,-1,1,75,1,10,0,1,0,1,0,0,0,0,-2,0,1,1,2,"Trump","Romney","Trump",0,0
1,1,0,1,0,0,0,40,0,0,1,-1,0,1,-1,-2,-1,1,-1,0,0,1,-2,-3,-3,-1,-1,0,1,-1,1,1,-1,0,53,0,13,0,1,0,1,0,1,1,-2,-1,0,1,1,0,"Johnson","Romney","Trump",1,0
1,1,1,0,0,1,100,0,4,1,1,1,-2,-2,2,1,1,0,1,1,2,-1,2,-1,0,0,0,1,-1,1,1,0,1,1,57,0,9,1,1,0,1,1,0,0,-2,-2,0,0,0,1,"Clinton","Obama","Clinton",0,0
0,1,0,1,1,0,0,15,0,0,1,-1,1,1,-1,1,-2,1,0,0,1,2,-2,0,3,0,-1,0,1,0,0,0,-1,1,24,0,12,0,1,0,1,1,1,1,-1,-2,1,1,1,1,"Trump","Romney","Trump",0,0
-1,-1,1,0,0,1,70,30,0,1,1,1,-2,-2,1,1,0,1,-1,1,1,1,0,1,1,1,-1,0,-1,0,1,1,0,1,85,0,9,0,1,0,0,1,0,0,1,-2,0,1,0,0,"Clinton","Obama","Clinton",0,0
-1,-1,0,1,0,0,0,85,3,0,1,-1,2,2,-2,-2,0,0,0,-1,1,1,0,0,0,-1,-1,0,-1,0,1,0,-1,1,56,0,9,0,1,0,1,0,0,1,2,-2,0,0,1,0,"Trump","Romney","Trump",0,0
1,0,0,1,0,0,0,70,4,0,1,-1,1,1,-2,-2,-1,0,-1,0,0,2,-3,1,3,0,-1,0,1,-1,1,0,-1,1,38,1,10,0,1,0,1,0,0,0,1,-2,0,1,1,1,"Trump","Romney","Trump",0,0
0,0,1,0,0,1,85,0,3,1,1,1,-2,-2,-1,2,3,1,1,1,2,2,0,0,0,1,1,0,1,0,1,1,1,1,41,1,14,0,1,0,1,1,0,1,-1,-2,1,0,1,2,"Clinton","Obama","Clinton",0,0
2,1,1,0,0,1,100,0,5,2,0,1,-2,-2,2,2,2,1,1,1,2,2,2,-1,-2,1,-1,1,0,1,1,0,1,0,44,1,12,0,1,0,1,0,1,0,-2,-2,1,0,1,1,"Clinton","Obama","Clinton",0,0
1,1,0,1,0,0,0,85,1,0,1,-1,2,2,-2,-2,-2,0,-1,-1,1,2,-3,2,3,0,-1,0,-1,-1,1,0,0,1,71,1,9,0,1,0,1,0,0,1,0,-2,0,1,0,1,"Trump","Romney","Trump",0,0
-1,0,0,1,0,0,50,60,1,2,1,-1,1,0,-1,-1,0,1,0,-1,0,1,1,0,2,1,0,0,1,-1,1,0,0,1,67,1,9,0,1,0,1,0,0,0,1,-2,0,0,0,2,"Trump","Romney","Trump",0,0
2,1,1,0,0,0,85,0,0,2,1,1,-2,-2,1,1,2,1,1,1,2,2,3,1,-3,1,1,0,0,0,1,1,1,0,81,0,15,0,1,0,0,1,0,1,-1,-2,1,1,1,2,"Clinton","Obama","Clinton",0,0
2,1,1,0,0,0,75,0,1,1,1,-1,-2,-2,-1,2,2,1,1,1,1,2,2,-1,-3,1,1,0,0,0,1,1,1,1,64,1,1,0,1,0,1,1,0,1,-2,-2,1,1,1,0,"Clinton","Obama","Clinton",0,0
2,1,1,0,0,1,60,0,1,0,1,0,-2,-1,2,2,3,1,1,1,0,0,1,-2,-3,1,-1,1,0,1,1,0,1,0,59,0,12,0,1,0,0,0,0,0,0,-2,1,0,1,1,"Clinton","Obama","Clinton",0,0
2,-1,0,0,0,0,40,50,2,0,1,-1,-1,2,2,2,-1,1,-1,0,-2,2,-2,3,0,0,0,0,2,-1,1,0,0,1,48,1,9,1,1,0,1,0,0,0,1,-2,0,1,1,2,"Johnson","Romney","Johnson",0,1
0,-1,0,1,0,0,30,70,0,0,1,0,0,1,-1,0,0,1,1,-1,2,2,1,2,1,0,-1,0,0,-1,1,0,-1,1,76,0,10,0,1,0,1,0,0,1,1,-2,1,0,1,1,"Trump","Obama","Trump",0,1
1,1,1,0,0,1,90,0,2,1,1,1,-2,-1,1,2,0,1,1,1,0,2,2,-2,-1,1,1,0,0,1,1,1,1,0,52,1,16,0,1,0,1,0,0,1,-2,-2,1,0,1,1,"Clinton","Obama","Clinton",0,0
-1,1,1,0,1,0,71,2,3,1,1,0,-2,-2,2,2,0,1,1,-1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,51,1,11,0,1,0,1,1,0,1,0,-2,1,0,1,2,"Clinton","Obama","Clinton",0,0
0,1,1,0,0,1,70,0,0,1,1,1,-2,-2,2,2,0,1,1,1,2,2,0,0,0,0,0,0,0,0,1,0,1,1,41,0,9,0,1,0,1,1,0,0,-2,-2,0,1,1,1,"Clinton","Obama","Clinton",0,0
1,1,1,0,1,1,90,0,0,0,1,1,-2,-2,2,1,2,1,1,-1,1,2,2,0,0,1,0,0,0,1,1,0,0,0,25,0,13,0,1,0,1,0,1,0,-2,-2,1,0,1,1,"Clinton","Obama","Clinton",0,0
1,1,0,1,0,0,0,100,3,0,1,0,1,2,-2,-2,-2,1,0,0,-2,1,-1,2,0,0,0,0,2,1,0,0,-1,1,60,1,9,0,1,0,1,0,0,0,1,-2,0,1,1,1,"Trump","Romney","Trump",0,0
2,1,1,0,0,1,85,0,1,2,1,1,-2,-2,2,2,-1,1,1,1,2,2,0,1,1,1,0,0,0,1,1,0,1,0,64,1,10,0,1,0,1,1,0,1,-2,-2,1,1,0,2,"Clinton","Obama","Clinton",0,0
0,0,1,0,0,1,85,0,3,1,1,0,-2,-1,1,2,0,1,1,1,0,2,0,0,0,1,0,0,0,-1,1,0,1,1,36,1,13,0,0,1,1,0,0,1,-2,-2,1,0,1,1,"Clinton","Obama","Clinton",0,0
2,1,0,1,0,0,15,60,0,0,1,-1,0,1,-1,-2,-2,0,-1,-1,-2,2,-2,2,0,0,-1,0,-1,0,0,0,0,1,59,1,13,0,1,0,1,0,0,1,-1,-2,0,1,1,1,"Trump","Romney","Trump",0,0
2,1,0,1,0,0,0,71,1,0,0,-1,2,2,-2,-1,-2,0,0,-1,-2,2,-3,3,2,0,-1,0,1,0,0,0,-1,1,55,0,10,0,1,0,1,0,1,0,-2,-2,0,1,1,1,"Trump","Romney","Trump",0,0
2,1,0,1,1,0,2,91,2,-1,1,-1,2,1,-1,-1,1,-1,0,0,1,2,-1,2,2,0,-1,0,0,1,1,0,-1,1,34,1,14,0,1,0,1,1,0,0,-1,-2,1,1,1,1,"Trump","Romney","Trump",0,0
1,1,0,1,0,0,2,77,2,0,1,-1,2,2,-2,-1,-2,1,-1,-1,1,2,-3,0,3,-1,-1,0,1,0,0,0,0,1,45,1,12,0,1,0,1,0,0,1,2,-2,0,1,1,0,"Trump","Romney","Trump",0,0
2,1,1,0,0,0,76,3,0,1,1,1,-2,-1,-1,1,0,1,1,1,-1,1,-1,0,-2,1,0,0,-1,1,1,1,1,0,58,1,10,0,1,0,1,1,1,0,-2,-1,0,0,0,0,"Clinton","Obama","Clinton",0,0
2,1,1,0,0,1,85,2,1,2,1,1,-2,-2,2,2,2,1,1,-1,2,0,2,0,1,1,1,0,0,1,1,1,1,1,65,0,10,0,0,1,1,0,0,1,-1,-2,1,0,1,1,"Clinton","Obama","Clinton",0,0
0,1,0,1,0,0,15,70,5,-1,1,-1,0,1,-2,-1,-2,0,-1,-1,-1,1,-2,0,2,0,-1,0,0,0,1,0,-1,1,57,1,13,0,1,0,1,0,0,1,0,-2,0,1,1,0,"Trump","Romney","Trump",0,0
2,1,0,1,0,0,0,85,1,-1,1,-1,2,1,-1,-1,-2,1,0,0,-2,1,-2,2,2,0,-1,0,0,1,0,0,-1,1,69,1,10,0,1,0,1,0,0,1,2,-2,0,1,0,0,"Trump","Romney","Trump",0,0
1,1,1,0,0,1,96,54,1,-1,1,0,-2,-2,0,1,0,1,-1,1,0,2,-2,-2,-3,0,0,0,-1,1,1,1,1,1,46,0,12,0,0,1,1,1,0,0,2,-2,1,0,0,0,"Clinton","Obama","Clinton",0,0
1,1,0,1,1,0,0,70,0,-1,1,-1,1,1,-2,-2,-2,1,0,0,-1,2,-1,1,2,0,-1,1,-1,1,1,0,-1,1,70,0,10,0,1,0,1,0,0,0,-2,-2,0,1,0,1,"Trump","Romney","Trump",0,0
0,0,1,0,1,0,85,0,0,-1,1,1,-2,-2,1,2,0,1,0,-1,2,1,0,0,0,1,-1,0,-1,0,1,0,-1,0,79,0,8,0,1,0,1,1,0,0,0,-2,0,0,0,0,"Clinton","Obama","Clinton",0,0
-1,-1,1,0,0,0,72,5,1,0,1,-1,-1,-1,2,2,0,1,-1,1,0,1,0,0,-1,0,0,0,-1,-1,1,0,1,0,32,0,13,0,1,0,1,1,0,0,-1,-2,0,0,1,-1,"Clinton","Obama","Clinton",0,0
2,1,1,0,0,0,100,0,3,0,1,1,-2,-2,2,2,0,1,1,1,2,-2,3,3,3,1,1,0,0,0,1,1,1,1,44,0,13,0,0,1,1,0,1,0,-1,-2,1,0,1,0,"Clinton","Obama","Clinton",0,0
2,1,1,0,0,1,100,0,3,2,1,1,-2,-2,2,2,0,1,1,1,2,-2,0,0,0,1,1,0,-1,1,1,0,1,1,55,1,10,0,0,1,1,0,0,0,-2,-2,1,0,1,2,"Clinton","Obama","Clinton",0,0
1,1,1,0,0,1,95,0,1,0,1,1,-2,-2,2,2,3,1,1,1,1,-2,1,0,-2,1,0,1,0,0,1,1,1,0,46,1,9,0,1,0,1,1,0,0,-1,-1,1,0,1,1,"Clinton","Obama","Clinton",0,0
1,1,1,0,0,1,75,0,3,0,1,1,-2,-2,1,1,0,1,1,-1,0,-1,2,-1,-3,1,0,0,-1,-1,1,1,1,0,53,1,13,1,1,0,0,1,0,1,-2,-2,1,0,1,0,"Clinton","Obama","Clinton",0,0
1,1,1,0,0,1,100,0,3,0,1,1,-2,-2,2,2,2,1,-1,1,0,0,-1,-2,-3,1,-1,0,1,0,1,0,1,1,90,0,13,0,1,0,1,0,0,0,-1,-2,1,0,1,1,"Clinton","Obama","Clinton",0,0
1,1,1,0,0,1,65,0,0,0,1,1,-1,-2,2,2,3,1,1,1,0,2,3,-3,-3,1,0,0,0,0,1,1,1,0,23,0,12,0,1,0,0,1,1,0,-2,-2,1,0,0,-1,"Clinton","Obama","Clinton",0,0
1,1,1,1,0,0,100,60,0,0,1,1,-2,0,-1,2,1,1,0,1,0,2,3,3,-3,1,-1,0,0,-1,1,0,-1,1,74,0,10,0,1,0,1,1,1,0,-2,-2,1,1,0,2,"Clinton","Obama","Clinton",0,0
1,1,1,1,0,0,60,85,2,0,1,0,1,-1,-1,-1,0,1,-1,-1,0,2,0,1,1,0,0,0,-1,1,1,0,-1,1,77,1,10,0,1,0,0,1,0,0,0,-2,0,0,1,0,"Trump","Obama","Trump",0,1
2,1,0,1,1,0,2,51,7,0,1,-1,1,2,1,-1,-2,1,0,-1,-1,2,-2,0,3,-1,-1,0,0,-1,0,0,-1,1,46,1,14,0,1,0,1,1,0,1,0,-2,0,1,1,0,"Trump","Romney","Trump",0,0
0,1,1,0,0,1,60,15,0,0,1,1,-1,-1,-1,1,2,1,-1,1,-1,1,1,0,-3,1,0,0,-1,-1,1,1,1,0,60,0,11,0,1,0,1,1,0,1,-2,-2,1,0,1,0,"Clinton","Obama","Stein",1,1
1,0,0,1,1,0,40,85,1,1,1,1,0,0,-1,-1,-1,1,-1,-1,1,2,0,0,0,1,1,0,0,1,1,0,1,1,40,1,14,1,0,0,0,1,0,0,0,-2,1,1,1,0,"Trump","Romney","Trump",0,0
